thesis	attempt	metric	baseline	status	summary
#2	thesis/2-cache-proxy-handler-objects-at-prototype-level-in-node-and-container	142.4700	135.6300	discarded	Cached Proxy handler objects as module-level singletons in node.js and container.js. getProxyProcessor() now returns a lazily-initialized singleton handler per class instead of creating a new object each call. All tests pass and fingerprints correct, but no measurable improvement because toProxy() already caches the Proxy itself in proxyCache -- the handler is only allocated once per node lifetime anyway. Median of 5 runs: 142.47. Benchmark noise (138-155) exceeds any potential savings.
#4	thesis/4-reduce-per-node-object-allocation-in-parser	127.8900	135.6300	accepted	Inlined fromOffset and added sequential position tracking in parser. getPosition() now caches lineToIndex array on parser instance, tracks lastLine from previous call, and uses a fast O(1) path that checks same-line or next-5-lines before falling back to binary search. Eliminates intermediate {col,line} object allocation. METRIC_A: 55.07 (was 58.67), METRIC_B: 364.11 (was 384.77). Median across 8 runs ~125ms. All 649 tests pass, fingerprints correct.
#5	thesis/5-optimize-visitor-dispatch-getevents-and-walksync-in-lazy-result	131.1200	135.6300	non_improvement	Pre-computed static event arrays for rule/comment/document/root node types. Cached keyed event arrays for decl (by prop) and atrule (by name) using null-prototype lookup table. Inlined walkSync dispatch with type-specific branches and pre-computed direct listener references to eliminate hash lookups in the hot loop. Median of 10 runs: 131.12 (4.5ms improvement). METRIC_A: ~55-72 (no regression), METRIC_B: ~313-387 (improved). All 649 tests pass, fingerprints correct.
#1	thesis/1-cache-preparevisitors-listener-maps-across-files-with-identical-plugins	231.7600	135.6300	discarded	Cached visitor template on Processor object to skip repeated for-in enumeration and regex validation in prepareVisitors(). Added fast path for static-only plugins (no prepare()) and template-based handling for prepare() plugins. Pre-allocated constant event arrays. System under heavy load (all metrics ~70% inflated). Even under normal load, savings estimated <1ms because the benchmark plugins use prepare(), making the static cache empty. The real bottleneck is parsing/stringifying/walking, not prepareVisitors() itself. All 649 tests pass, fingerprints correct.
#6	thesis/6-optimize-tokenizer-character-scanning-with-lookup-table-attempt-1	161.0300	125.8900	discarded	Full lookup table replacement for word-end/at-end scanning. Replaced regex with manual loop+Uint8Array. V8 regex engine faster for scanning — regressed both workloads.
#6	thesis/6-optimize-tokenizer-character-scanning-with-lookup-table-attempt-2	240.4300	125.8900	discarded	Selective Uint8Array lookup for whitespace and control chars, keep regex scanning. Uint8Array indexing slower than direct === in V8 JIT. Major regression.
#6	thesis/6-optimize-tokenizer-character-scanning-with-lookup-table-attempt-3	199.4900	210.1600	discarded	Pre-computed control char string constants and reordered whitespace switch cases. Marginal improvement within noise floor. V8 already optimizes String.fromCharCode and switch dispatch.
#3	thesis/3-optimize-stringifier-string-building-with-array-accumulation	137.9800	135.6300	discarded	Replaced result+=i string concatenation with chunks.push(i)/chunks.join('') array accumulation in Node.toString() and MapGenerator.generate(). No improvement: V8 uses cons strings (rope-like O(1) concat) making += already efficient. Array.push+join incurs overhead from array resizing and function calls. Multiple alternatives tried (pre-allocated arrays, index-based assignment, chunked accumulation, inlined raw() fast paths, merged builder calls) -- none improved, several worsened by disrupting V8 JIT. METRIC_A: 59.88, METRIC_B: 390.51. All 649 tests pass, fingerprints correct.
#9	thesis/9-optimize-tokenizer-regex-usage-and-reduce-indexof-calls	160.0100	127.8900	discarded	Rewrote tokenizer to eliminate all regex (except RE_BAD_BRACKET) and all indexOf calls. Added Uint8Array lookup tables for IS_AT_END, IS_WORD_END, IS_WS character classification. Replaced indexOf with charCodeAt loops for quote/paren/comment scanning. Inline hex check replaces RE_HEX_ESCAPE. Pre-computed control char map avoids String.fromCharCode. All 649 tests pass, fingerprints correct. System under heavy load from parallel agents -- measured ~160ms but relative improvement appears significant (~30-35% faster tokenizing). Cannot confirm improvement under load. METRIC_A: ~70, METRIC_B: ~454.
#7	thesis/7-fast-path-container-walk-methods-for-common-visitor-patterns	132.6400	127.8900	discarded	Implemented fast-path specialized walk methods in container.js bypassing generic walk()->each()->callback chain. walkDecls/walkRules/walkComments/walkAtRules dispatch to dedicated internal methods that inline iteration, perform direct type checks, and skip recursion into leaf nodes. METRIC_B improved (340.14 vs ~365 baseline) but composite 132.64 doesn't clear 124.89 threshold. METRIC_A: 64.61 (unaffected). All 649 tests pass, fingerprints correct.
